date,open,high,low,close,volume,amount,code,name,type
2025-08-29,7.387,7.399,7.387,7.398,14072800,104048535,518800,黄金ETF,gold
2025-09-01,7.448,7.669,7.448,7.545,99218700,746456099,518800,黄金ETF,gold
2025-09-02,7.62,7.646,7.571,7.579,47740100,362921964,518800,黄金ETF,gold
2025-09-03,7.662,7.69,7.65,7.669,68422900,524508531,518800,黄金ETF,gold
2025-09-04,7.696,7.7,7.6,7.657,49637724,379731246,518800,黄金ETF,gold
2025-09-05,7.675,7.688,7.661,7.679,18273200,140284277,518800,黄金ETF,gold
2025-09-08,7.715,7.753,7.714,7.751,32657000,252655483,518800,黄金ETF,gold
2025-09-09,7.831,7.889,7.831,7.864,78897800,620034862,518800,黄金ETF,gold
2025-09-10,7.826,7.856,7.802,7.854,31558000,247257096,518800,黄金ETF,gold
2025-09-11,7.857,7.88,7.807,7.826,38362800,300560451,518800,黄金ETF,gold
2025-09-12,7.833,7.867,7.833,7.856,26386800,207233333,518800,黄金ETF,gold
2025-09-15,7.827,7.848,7.809,7.833,37494500,293645964,518800,黄金ETF,gold
2025-09-16,7.913,7.935,7.892,7.934,27918500,220783835,518800,黄金ETF,gold
2025-09-17,7.923,7.923,7.859,7.869,43221100,340687633,518800,黄金ETF,gold
2025-09-18,7.818,7.854,7.763,7.767,60368800,471224014,518800,黄金ETF,gold
2025-09-19,7.807,7.82,7.774,7.804,23103200,180174186,518800,黄金ETF,gold
2025-09-22,7.911,7.958,7.888,7.95,31255400,247486886,518800,黄金ETF,gold
2025-09-23,8.015,8.049,8.005,8.045,59977800,481613902,518800,黄金ETF,gold
2025-09-24,8.044,8.105,8.026,8.091,46971300,379438133,518800,黄金ETF,gold
2025-09-25,8.061,8.061,8.016,8.042,46006800,369709495,518800,黄金ETF,gold
2025-09-26,8.044,8.085,8.044,8.062,25592700,206344189,518800,黄金ETF,gold
2025-09-29,8.072,8.25,8.072,8.16,77142400,626190191,518800,黄金ETF,gold
2025-09-30,8.234,8.282,8.163,8.243,46643300,385004459,518800,黄金ETF,gold
2025-10-09,8.65,8.676,8.589,8.62,85180765,734479005,518800,黄金ETF,gold
2025-10-10,8.545,8.547,8.48,8.499,48934800,416434968,518800,黄金ETF,gold
2025-10-13,8.666,8.769,8.666,8.756,49287055,429777132,518800,黄金ETF,gold
2025-10-14,8.982,9.301,8.77,8.864,132443105,1185324295,518800,黄金ETF,gold
2025-10-15,9.016,9.098,8.982,9.081,54845200,495076564,518800,黄金ETF,gold
2025-10-16,9.143,9.18,9.086,9.132,59314800,541761506,518800,黄金ETF,gold
2025-10-17,9.394,9.473,9.253,9.451,132286000,1239721560,518800,黄金ETF,gold
2025-10-20,9.211,9.255,9.137,9.156,99654700,917740461,518800,黄金ETF,gold
2025-10-21,9.398,9.4,9.31,9.374,85198300,797724921,518800,黄金ETF,gold
2025-10-22,8.804,8.996,8.804,8.994,124923595,1111621074,518800,黄金ETF,gold
2025-10-23,8.845,8.942,8.813,8.884,70652799,626777203,518800,黄金ETF,gold
2025-10-24,8.929,8.942,8.825,8.842,51712700,459248996,518800,黄金ETF,gold
2025-10-27,8.84,8.84,8.787,8.803,37122700,327063941,518800,黄金ETF,gold
2025-10-28,8.687,8.688,8.483,8.485,113941408,977347797,518800,黄金ETF,gold
2025-10-29,8.562,8.592,8.515,8.58,47782488,408797070,518800,黄金ETF,gold
2025-10-30,8.546,8.611,8.451,8.596,66284400,565407476,518800,黄金ETF,gold
2025-10-31,8.696,8.719,8.639,8.685,46153600,400462157,518800,黄金ETF,gold
2025-11-03,8.643,8.695,8.631,8.69,44641478,386924720,518800,黄金ETF,gold
2025-11-04,8.64,8.648,8.599,8.628,41457300,357456319,518800,黄金ETF,gold
2025-11-05,8.542,8.624,8.535,8.597,28752900,246670364,518800,黄金ETF,gold
2025-11-06,8.6,8.65,8.598,8.649,26142400,225625245,518800,黄金ETF,gold
2025-11-07,8.654,8.689,8.649,8.688,44825902,388403613,518800,黄金ETF,gold
2025-11-10,8.745,8.842,8.745,8.832,88142900,775285349,518800,黄金ETF,gold
2025-11-11,8.958,8.988,8.938,8.952,73020402,654674064,518800,黄金ETF,gold
2025-11-12,8.955,8.956,8.875,8.919,40768705,363646968,518800,黄金ETF,gold
2025-11-13,9.043,9.072,9.024,9.061,50461600,456733081,518800,黄金ETF,gold
2025-11-14,8.999,9.067,8.98,8.988,56428100,509176433,518800,黄金ETF,gold
2025-11-17,8.806,8.858,8.732,8.773,58510600,514317099,518800,黄金ETF,gold
2025-11-18,8.716,8.727,8.666,8.67,35471600,308259407,518800,黄金ETF,gold
2025-11-19,8.768,8.858,8.765,8.843,37862500,333905825,518800,黄金ETF,gold
2025-11-20,8.846,8.863,8.761,8.795,40374200,355599535,518800,黄金ETF,gold
2025-11-21,8.788,8.813,8.719,8.727,66421500,581774546,518800,黄金ETF,gold
2025-11-24,8.742,8.762,8.724,8.754,44111930,385621224,518800,黄金ETF,gold
2025-11-25,8.859,8.929,8.859,8.901,28826215,256670367,518800,黄金ETF,gold
2025-11-26,8.905,8.937,8.893,8.898,37822100,337334373,518800,黄金ETF,gold
2025-11-27,8.889,8.907,8.878,8.902,16115585,143322177,518800,黄金ETF,gold
2025-11-28,8.973,8.978,8.945,8.957,18038800,161584803,518800,黄金ETF,gold
2025-12-01,9.041,9.093,9.015,9.051,44314100,401280731,518800,黄金ETF,gold
2025-12-02,9.021,9.032,8.981,9.003,20001300,180263088,518800,黄金ETF,gold
2025-12-03,9.014,9.029,8.974,8.986,23596100,212433053,518800,黄金ETF,gold
2025-12-04,8.997,9.017,8.926,8.957,35578700,319003578,518800,黄金ETF,gold
2025-12-05,8.977,9.036,8.974,9.027,24330398,219215518,518800,黄金ETF,gold
2025-12-08,9.006,9.008,8.967,9.001,24381100,219185524,518800,黄金ETF,gold
2025-12-09,8.968,8.973,8.917,8.938,17371881,155419057,518800,黄金ETF,gold
2025-12-10,8.999,9.008,8.972,8.981,13221000,118852797,518800,黄金ETF,gold
2025-12-11,9.049,9.053,8.983,8.997,36759801,331525904,518800,黄金ETF,gold
2025-12-12,9.077,9.115,9.077,9.113,27256548,247872137,518800,黄金ETF,gold
2025-12-15,9.178,9.243,9.178,9.238,25408590,234102366,518800,黄金ETF,gold
2025-12-16,9.15,9.182,9.085,9.127,33132712,302688746,518800,黄金ETF,gold
2025-12-17,9.176,9.229,9.171,9.197,28753700,264511377,518800,黄金ETF,gold
2025-12-18,9.197,9.214,9.19,9.203,15851200,145895947,518800,黄金ETF,gold
2025-12-19,9.19,9.205,9.163,9.198,26804184,246262240,518800,黄金ETF,gold
2025-12-22,9.246,9.39,9.246,9.388,39638300,369637467,518800,黄金ETF,gold
2025-12-23,9.517,9.568,9.487,9.521,69063791,658154225,518800,黄金ETF,gold
2025-12-24,9.593,9.604,9.49,9.524,88473392,844170266,518800,黄金ETF,gold
2025-12-25,9.46,9.464,9.423,9.452,48777609,460615714,518800,黄金ETF,gold
2025-12-26,9.55,9.554,9.499,9.534,30250400,288315037,518800,黄金ETF,gold
2025-12-29,9.522,9.549,9.43,9.448,56057743,532970099,518800,黄金ETF,gold
2025-12-30,9.194,9.288,9.164,9.254,56551064,522288334,518800,黄金ETF,gold
2025-12-31,9.243,9.276,9.082,9.186,65253904,599437461,518800,黄金ETF,gold
2026-01-05,9.3,9.383,9.3,9.378,49379900,461464319,518800,黄金ETF,gold
2026-01-06,9.421,9.491,9.406,9.465,63007300,595752604,518800,黄金ETF,gold
2026-01-07,9.467,9.485,9.408,9.415,48712995,460356240,518800,黄金ETF,gold
2026-01-08,9.429,9.449,9.359,9.397,27720200,260680389,518800,黄金ETF,gold
2026-01-09,9.415,9.48,9.415,9.475,50391645,476745014,518800,黄金ETF,gold
2026-01-12,9.653,9.68,9.62,9.655,25246700,243741434,518800,黄金ETF,gold
2026-01-13,9.665,9.704,9.654,9.672,25027000,242136597,518800,黄金ETF,gold
2026-01-14,9.733,9.801,9.733,9.8,35466500,346661431,518800,黄金ETF,gold
2026-01-15,9.748,9.763,9.698,9.746,29720400,289137119,518800,黄金ETF,gold
2026-01-16,9.743,9.757,9.707,9.734,22184900,215812897,518800,黄金ETF,gold
2026-01-19,9.841,9.891,9.835,9.889,26042799,256732630,518800,黄金ETF,gold
2026-01-20,9.9,9.969,9.863,9.96,47232700,468737308,518800,黄金ETF,gold
2026-01-21,10.28,10.342,10.19,10.252,65906318,676428074,518800,黄金ETF,gold
2026-01-22,10.177,10.212,10.099,10.206,70662206,717069341,518800,黄金ETF,gold
2026-01-23,10.457,10.515,10.45,10.49,44549800,466909165,518800,黄金ETF,gold
2026-01-26,10.75,10.818,10.705,10.764,62650419,673831702,518800,黄金ETF,gold
